"Pattern1"	"Pattern2"	"Pattern3"	"Pattern4"	"Pattern5"	"MAP"	"PPDE"
"ENSMUSG00000034175_Rhbdd3"	4.65110513966311e-05	0.997513141806499	0.000172079294785667	2.82583282110749e-07	0.002267985264037	"Pattern2"	0.999953488948603
"ENSMUSG00000035910_Dcdc2a"	4.93467093324241e-05	6.07547689040162e-08	2.82699896493666e-07	0.999304053613243	0.000646256222759038	"Pattern4"	0.999950653290668
"ENSMUSG00000018581_Dnah11"	5.42189961571728e-05	2.93628242973011e-07	4.21374964270561e-06	0.995503091506051	0.00443818211990647	"Pattern4"	0.999945781003843
"ENSMUSG00000024481_4833403I15Rik"	6.69091469546427e-05	0.998081739727176	1.92147841957517e-06	6.80571728833047e-05	0.00178137247456613	"Pattern2"	0.999933090853045
"ENSMUSG00000027376_Prom2"	7.05281707787228e-05	5.11586575586587e-07	2.06024041592704e-05	0.991727620996992	0.00818073684149423	"Pattern4"	0.999929471829221
"ENSMUSG00000040205_Cuzd1"	7.3797570396433e-05	3.52464082541574e-07	8.33318374715247e-05	0.990963016043219	0.00887950208483076	"Pattern4"	0.999926202429604
"ENSMUSG00000032125_Robo4"	9.60277941328473e-05	0.00109270747264083	2.70220175345853e-07	0.995822323955125	0.00298867055792606	"Pattern4"	0.999903972205867
"ENSMUSG00000031984_2810004N23Rik"	0.00010403966935904	0.000104854519705137	4.38450508207874e-07	0.99754419516678	0.00224647219364764	"Pattern4"	0.999895960330641
"ENSMUSG00000025381_Cnpy2"	0.000108070603051317	0.999075215888529	1.76590863183896e-05	1.98921378077385e-06	0.00079706520832074	"Pattern2"	0.999891929396949
"ENSMUSG00000028001_Fga"	0.000123892681613062	0.995686832668142	2.15227743619159e-07	3.60969227077079e-05	0.00415296249979323	"Pattern2"	0.999876107318387
"ENSMUSG00000020108_Ddit4"	0.000124801876774686	0.99958086969886	3.09549094225468e-07	9.99702164639297e-07	0.000293019173106644	"Pattern2"	0.999875198123225
